year,iso3_code,fao_area_code,GFWCategory,total_catch_gfw_cat,total_f_hours,total_hours,total_days,n_vessel,effort_type,effort,slope,slope_log,effort_moment
2017,AGO,47,drifting_longlines,15104.256653734808,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,AGO,47,drifting_longlines,15104.256653734808,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,AGO,47,drifting_longlines,15104.256653734808,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,AGO,47,pole_and_line,274.7816876461687,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,AGO,47,pole_and_line,274.7816876461687,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,AGO,47,pole_and_line,274.7816876461687,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,AGO,47,pots_and_traps,1562.590292167055,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,AGO,47,pots_and_traps,1562.590292167055,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,AGO,47,pots_and_traps,1562.590292167055,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,AGO,47,seiners,261550.36010181624,420.95472222222213,5320.803333333335,116,2,total_f_hours_length,11824.448133745418,0.045209068452983205,-1.3447744416473493,28.08959612407742
2017,AGO,47,seiners,261550.36010181624,420.95472222222213,5320.803333333335,116,2,total_f_hours_tonnage,71631.92690521773,0.2738743195663461,-0.5624486884232904,170.16539576292772
2017,AGO,47,seiners,261550.36010181624,420.95472222222213,5320.803333333335,116,2,total_f_hours_kw,230577.26684978927,0.8815788544891707,-0.05473883533530895,547.7483792854745
2017,AGO,47,trawlers,80005.43504930587,50570.50555555557,79916.16194444445,2385,15,total_f_hours_length,1875915.4562845153,23.44735023474872,1.3700937705714105,37.09505047806332
2017,AGO,47,trawlers,80005.43504930587,50570.50555555557,79916.16194444445,2385,15,total_f_hours_tonnage,19749165.56946273,246.84779924378495,2.3924292596473435,390.5273509232919
2017,AGO,47,trawlers,80005.43504930587,50570.50555555557,79916.16194444445,2385,15,total_f_hours_kw,30444489.242775522,380.53026302542,2.5803892012966236,602.0206622085263
2017,ALB,37,seiners,59.81023255813953,797.0075000000002,5954.879999999999,115,1,total_f_hours_length,16640.262921913934,278.21765959091516,2.4443846929438644,20.878427018458336
2017,ALB,37,seiners,59.81023255813953,797.0075000000002,5954.879999999999,115,1,total_f_hours_tonnage,42401.48737571649,708.9336650630712,2.850605600140968,53.200863700425
2017,ALB,37,seiners,59.81023255813953,797.0075000000002,5954.879999999999,115,1,total_f_hours_kw,207111.12999914514,3462.804291854564,3.539427947117055,259.8609548832917
2017,ARG,41,pole_and_line,93143.09427277288,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,ARG,41,pole_and_line,93143.09427277288,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,ARG,41,pole_and_line,93143.09427277288,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,ARG,41,pots_and_traps,2851.282894849127,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,ARG,41,pots_and_traps,2851.282894849127,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,ARG,41,pots_and_traps,2851.282894849127,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,ARG,41,set_longlines,2091.3398423401177,3065.1763888888886,9916.904444444448,217,2,total_f_hours_length,142689.9413387921,68.22895946893466,1.8339687480885571,46.551951090330725
2017,ARG,41,set_longlines,2091.3398423401177,3065.1763888888886,9916.904444444448,217,2,total_f_hours_tonnage,2017446.246166073,964.6668634728629,2.9843773606658126,658.1827569464566
2017,ARG,41,set_longlines,2091.3398423401177,3065.1763888888886,9916.904444444448,217,2,total_f_hours_kw,2129406.8911339864,1018.2022299882516,3.0078340438607496,694.709413413525
2017,ARG,41,trawlers,1214110.3956348267,476039.14833333343,907480.6427777779,27983,223,total_f_hours_length,21821083.993856564,17.97289939391952,1.2546181432863872,45.838843444398705
2017,ARG,41,trawlers,1214110.3956348267,476039.14833333343,907480.6427777779,27983,223,total_f_hours_tonnage,309365808.28074443,254.8086314004297,2.406214135225665,649.8747201020524
2017,ARG,41,trawlers,1214110.3956348267,476039.14833333343,907480.6427777779,27983,223,total_f_hours_kw,462380119.44796693,380.83861328458556,2.5807409751280406,971.3069210101978
2017,AUS,57,drifting_longlines,153.73675781128074,5793.296111111113,16940.27416666667,407,6,total_f_hours_length,161006.10919132223,1047.284406693193,3.0200646372514806,27.79179695001684
2017,AUS,57,drifting_longlines,153.73675781128074,5793.296111111113,16940.27416666667,407,6,total_f_hours_tonnage,1345656.153468818,8752.98902244755,3.942156383797841,232.27815869586732
2017,AUS,57,drifting_longlines,153.73675781128074,5793.296111111113,16940.27416666667,407,6,total_f_hours_kw,2588064.889577838,16834.39228473136,4.22619744313863,446.7344392450649
2017,AUS,57,driftnets,18474.563505646507,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,AUS,57,driftnets,18474.563505646507,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,AUS,57,driftnets,18474.563505646507,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,AUS,57,pole_and_line,9015.657558125122,6948.669444444446,14552.60638888889,595,7,total_f_hours_length,170926.56429743706,18.95885720985421,1.27781215565964,24.59845955603704
